ID	Choice	Distance	School_location	Grade	Age	Gender	CarAvail	Season	CB_location	Leistung
5468	1	0.436038	0	11	17	0	0	1	0	152.06
5469	1	0.267473	0	9	15	0	0	1	0	51.03
5470	3	1.1578	0	10	16	0	0	1	0	79.15
5471	3	1.46221	0	11	16	0	0	1	0	61.27
5472	3	1.55202	0	6	12	0	0	1	0	44.32
5473	3	1.92319	0	11	17	0	0	1	0	11.97
5474	3	1.55202	0	8	14	0	0	1	0	47.52
5475	3	1.55202	0	8	14	0	0	1	0	47.52
5476	1	1.27439	0	11	17	0	0	1	0	54.47
5477	1	0.713945	0	8	14	0	0	1	0	31.73
5478	1	0.713945	0	8	14	0	0	1	0	31.73
5479	1	0.713945	0	5	11	0	0	1	0	24.83
5480	3	3.42	0	7	13	0	0	1	0	77.87
5481	3	3.88405	0	8	14	0	0	1	0	45.65
5482	3	3.88405	0	8	14	0	0	1	0	45.65
5483	4	2.70538	0	7	13	0	1	1	0	89.03
5484	3	2.50669	0	9	15	0	0	1	0	234.34
5485	2	2.86572	0	10	15	0	0	1	0	258.20
5486	4	2.26826	0	9	15	0	1	1	0	247.26
5487	3	2.00127	0	7	13	0	0	1	0	172.44
5488	3	2.0545	0	11	17	0	1	1	0	87.81
5489	3	3.42	0	5	11	0	0	1	0	70.76
5490	3	3.42	0	5	11	0	0	1	0	70.76
5491	1	1.16794	0	7	13	0	0	1	0	169.93
5492	2	3.24158	0	11	17	0	0	1	0	501.81
5493	3	2.4188	0	11	17	0	0	1	0	85.48
5494	3	2.66722	0	7	13	0	0	1	0	138.05
5495	3	2.66722	0	8	14	0	0	1	0	149.30
5496	2	1.31825	0	9	15	0	0	1	0	140.56
5497	3	1.49249	0	11	17	0	0	1	0	176.80
5498	1	0.961794	0	7	13	0	0	1	0	38.79
5499	1	0.961794	0	8	14	0	0	1	0	39.74
5500	3	1.81086	0	9	15	0	0	1	0	27.80
5501	1	1.81086	0	6	12	0	0	1	0	30.07
5502	3	1.49249	0	7	13	0	0	1	0	147.46
5503	2	1.81086	0	6	12	0	0	1	0	30.07
5504	3	1.49249	0	5	12	0	0	1	0	135.83
5505	1	0.961794	0	11	16	0	0	1	0	41.00
5506	2	1.31825	0	11	17	0	1	1	0	147.60
5507	2	1.31825	0	11	17	0	1	1	0	147.60
5508	3	0.961794	0	11	18	0	1	1	0	41.68
5509	4	2.7839	0	8	14	0	0	1	0	737.44
5510	2	2.06924	0	7	13	0	0	1	0	243.22
5511	3	2.14343	0	12	19	0	0	1	0	244.99
5512	3	2.5278	0	7	13	0	1	1	0	661.50
5513	3	2.14778	0	7	13	0	0	1	0	609.84
